tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
B06421,8,23,1,0,0,0,0.03125,32
B12376,60,266,0,6,0,3,0.026865671641791045,335
B15275,40,214,1,2,0,4,0.02681992337164751,261
B12270,33,224,2,1,0,4,0.026515151515151516,264
B05977,17,57,0,1,0,1,0.02631578947368421,76
B03501,43,259,0,1,0,7,0.025806451612903226,310
B14862,8,31,0,0,0,1,0.025,40
B20883,23,100,0,1,0,2,0.023809523809523808,126
B11837,341,41,3,5,0,1,0.023017902813299233,391
B02482,52,42,0,2,0,0,0.020833333333333332,96
B25756,27,120,2,0,0,1,0.02,150
B11184,5,44,0,1,0,0,0.02,50
B26965,26,179,0,0,0,4,0.019138755980861243,209
B43574,3,50,0,0,0,1,0.018518518518518517,54
B09543,14,107,0,0,0,2,0.016260162601626018,123
B18399,51,222,0,3,0,1,0.01444043321299639,277
B01658,67,414,0,4,0,3,0.014344262295081968,488
B09542,5,64,0,0,0,1,0.014285714285714285,70
B23007,24,264,0,1,0,3,0.0136986301369863,292
B16394,34,40,0,1,0,0,0.013333333333333334,75
B00565,6,70,0,1,0,0,0.012987012987012988,77
B26461,15,61,0,0,0,1,0.012987012987012988,77
B00373,16,147,0,0,0,2,0.012121212121212121,165
B15342,92,8,0,1,0,0,0.009900990099009901,101
B12557,129,473,1,1,0,4,0.009868421052631578,608
B15274,17,89,0,0,0,1,0.009345794392523364,107
B01752,5,122,0,0,0,1,0.0078125,128
B02276,11,120,0,1,0,0,0.007575757575757576,132
B10034,5,130,0,0,0,1,0.007352941176470588,136
B23004,9,128,0,0,0,1,0.007246376811594203,138
B18355,37,116,0,0,0,1,0.006493506493506494,154
B02840,152,314,0,3,0,0,0.006396588486140725,469
B15303,29,285,0,0,0,2,0.006329113924050633,316
B01727,9,150,0,1,0,0,0.00625,160
B11188,12,152,0,0,0,1,0.006060606060606061,165
B13700,25,144,0,0,0,1,0.0058823529411764705,170
B15555,123,251,0,1,0,1,0.005319148936170213,376
