tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
A05807,8,36,0,0,0,0,0.0,44
A08377,6,38,0,0,0,0,0.0,44
A06764,42,1,0,0,0,0,0.0,43
A01869,5,35,0,0,0,0,0.0,40
A04573,16,24,0,0,0,0,0.0,40
A02693,29,10,0,0,0,0,0.0,39
A08873,11,27,0,0,0,0,0.0,38
A09915,33,5,0,0,0,0,0.0,38
A02835,14,23,0,0,0,0,0.0,37
A01559,14,22,0,0,0,0,0.0,36
A00668,4,31,0,0,0,0,0.0,35
A04091,3,32,0,0,0,0,0.0,35
A03445,4,29,0,0,0,0,0.0,33
A03500,11,22,0,0,0,0,0.0,33
A04074,16,17,0,0,0,0,0.0,33
A01937,5,26,0,0,0,0,0.0,31
A08768,4,27,0,0,0,0,0.0,31
A01025,26,4,0,0,0,0,0.0,30
A02181,8,22,0,0,0,0,0.0,30
A02685,18,12,0,0,0,0,0.0,30
A07453,30,0,0,0,0,0,0.0,30
A03444,6,23,0,0,0,0,0.0,29
A06799,9,20,0,0,0,0,0.0,29
A08130,4,24,0,0,0,0,0.0,28
A00607,10,17,0,0,0,0,0.0,27
A01727,4,23,0,0,0,0,0.0,27
A02517,16,11,0,0,0,0,0.0,27
A08242,9,17,0,0,0,0,0.0,26
A01234,5,20,0,0,0,0,0.0,25
A08816,3,22,0,0,0,0,0.0,25
A02519,9,15,0,0,0,0,0.0,24
A05056,3,20,0,0,0,0,0.0,23
A03796,5,15,0,0,0,0,0.0,20
A04031,20,0,0,0,0,0,0.0,20
A02675,4,15,0,0,0,0,0.0,19
A05967,9,10,0,0,0,0,0.0,19
A09253,16,3,0,0,0,0,0.0,19
A02566,1,17,0,0,0,0,0.0,18
A05759,17,1,0,0,0,0,0.0,18
A05990,10,8,0,0,0,0,0.0,18
A00608,4,12,0,0,0,0,0.0,16
A01724,14,2,0,0,0,0,0.0,16
A02607,13,3,0,0,0,0,0.0,16
