verse_id,verse_text,to_remove
Ezekiel 26.7 (Douay-Rheims) - 0,Part 1 of Ezekiel 26.7: For thus saith the Lord God:,TRUE
Ezekiel 24.9 (AKJV) - 0,Part 1 of Ezekiel 24.9: Therefore thus saith the Lord God;,TRUE
Ezekiel 13.13 (Douay-Rheims) - 0,Part 1 of Ezekiel 13.13: Therefore thus saith the Lord God:,TRUE
1 Paralipomenon 24.19 (Douay-Rheims) - 1,Part 2 of 1 Paralipomenon 24.19: as the Lord the God of Israel had commanded.,TRUE
Ezekiel 26.7 (AKJV) - 0,Part 1 of Ezekiel 26.7: For thus saith the Lord God;,TRUE
Ezekiel 24.6 (Douay-Rheims) - 0,Part 1 of Ezekiel 24.6: Therefore thus saith the Lord God:,TRUE
Ezekiel 30.22 (Douay-Rheims) - 0,"Part 1 of Ezekiel 30.22: Therefore, thus saith the Lord God:",TRUE
Ezekiel 11.7 (Douay-Rheims) - 0,Part 1 of Ezekiel 11.7: Therefore thus saith the Lord God:,TRUE
Ezekiel 36.7 (Douay-Rheims) - 0,Part 1 of Ezekiel 36.7: Therefore thus saith the Lord God:,TRUE
Ezekiel 13.8 (Douay-Rheims) - 0,Part 1 of Ezekiel 13.8: Therefore thus saith the Lord God:,TRUE
Ezekiel 36.5 (Douay-Rheims) - 0,Part 1 of Ezekiel 36.5: Therefore thus saith the Lord God:,TRUE
Ezekiel 34.20 (Douay-Rheims) - 0,Part 1 of Ezekiel 34.20: Therefore thus saith the Lord God to you:,TRUE
Ezekiel 15.6 (Douay-Rheims) - 0,Part 1 of Ezekiel 15.6: Therefore thus saith the Lord God:,TRUE
Ezekiel 29.8 (Douay-Rheims) - 0,Part 1 of Ezekiel 29.8: Therefore thus saith the Lord God:,TRUE
Ezekiel 28.6 (Douay-Rheims) - 0,"Part 1 of Ezekiel 28.6: Therefore, thus saith the Lord God:",TRUE
Ezekiel 32.3 (Douay-Rheims) - 0,"Part 1 of Ezekiel 32.3: Therefore, thus saith the Lord God:",TRUE
Ezekiel 28.6 (AKJV) - 0,Part 1 of Ezekiel 28.6: Therefore thus saith the Lord God;,TRUE
Ezekiel 26.3 (Douay-Rheims) - 0,Part 1 of Ezekiel 26.3: Therefore thus saith the Lord God:,TRUE
Ezekiel 39.25 (Douay-Rheims) - 0,"Part 1 of Ezekiel 39.25: Therefore, thus saith the Lord God:",TRUE
Ezekiel 13.8 (AKJV) - 0,Part 1 of Ezekiel 13.8: Therefore thus saith the Lord God;,TRUE
Jeremiah 30.2 (Douay-Rheims) - 0,"Part 1 of Jeremiah 30.2: Thus saith the Lord, the God of Israel, saying:",TRUE
Ezekiel 15.6 (AKJV) - 0,Part 1 of Ezekiel 15.6: Therefore thus saith the Lord God;,TRUE
Ezekiel 13.13 (AKJV) - 0,Part 1 of Ezekiel 13.13: Therefore thus sayth the Lord God;,TRUE
Ezekiel 5.7 (Douay-Rheims) - 0,Part 1 of Ezekiel 5.7: Therefore thus saith the Lord God:,TRUE
Ezekiel 5.8 (Douay-Rheims) - 0,Part 1 of Ezekiel 5.8: Therefore thus saith the Lord God:,TRUE
Jeremiah 16.9 (AKJV) - 0,"Part 1 of Jeremiah 16.9: For thus sayth the Lord of hostes, the God of Israel:",TRUE
Ezekiel 11.7 (AKJV) - 0,Part 1 of Ezekiel 11.7: Therefore thus sayth the Lord God;,TRUE
2 Chronicles 34.26 (AKJV) - 1,"Part 2 of 2 Chronicles 34.26: Thus saith the Lord God of Israel, concerning the words which thou hast heard:",TRUE
Ezekiel 16.19 (Geneva) - 1,"Part 2 of Ezekiel 16.19: thus it was, saith the Lord God.",FALSE
Ezekiel 34.31 (Vulgate) - 1,"Part 2 of Ezekiel 34.31: et ego Dominus Deus vester, dicit Dominus Deus.",FALSE
Jeremiah 29.8 (Douay-Rheims) - 0,Part 1 of Jeremiah 29.8: For thus saith the Lord of hoses the God of Israel:,TRUE
3 Kings 1.30 (Douay-Rheims) - 0,"Part 1 of 3 Kings 1.30: Even as I swore to thee by the Lord the God of Israel, saying:",FALSE
Ezekiel 20.7 (AKJV) - 1,Part 2 of Ezekiel 20.7: I am the Lord your God.,TRUE
